"","series","SYMBOL","Nrows","siMin","siMax","siMean"
"399","ROUSSEAU","ACSA3",1,56.7184443588177,56.7184443588177,56.7184443588177
"400","ROUSSEAU","BEAL2",1,64.5925742938399,64.5925742938399,64.5925742938399
"401","ROUSSEAU","BEPA",4,64.5925742938399,69.9723004003507,66.7263184909567
"402","ROUSSEAU","PIBA2",1,56.7184443588177,56.7184443588177,56.7184443588177
"403","ROUSSEAU","PIRE",1,53.9522531860139,53.9522531860139,53.9522531860139
"404","ROUSSEAU","PIST",2,45.9750774531943,57.8642329390988,51.5782181850512
"405","ROUSSEAU","POGR4",4,61.4423572725489,81.2962146475974,67.9043063956349
"406","ROUSSEAU","POTR5",2,64.5925742938399,65.8974308503532,65.2417404578895
"407","ROUSSEAU","QUEL",1,73.5598569578292,73.5598569578292,73.5598569578292
"408","ROUSSEAU","QURU",1,71.3858346331925,71.3858346331925,71.3858346331925
"409","Rubicon","PIBA2",1,51.8367550795945,51.8367550795945,51.8367550795945
"410","RUBICON","ACRU",1,41.5999703767516,41.5999703767516,41.5999703767516
"411","RUBICON","ACSA3",1,54.4944823451007,54.4944823451007,54.4944823451007
"412","RUBICON","BEPA",1,56.7184443588177,56.7184443588177,56.7184443588177
"413","RUBICON","PIBA2",6,41.5999703767516,59.6264611858368,52.6201673085816
"414","RUBICON","PIRE",8,46.9038356255827,58.445778148334,50.7468453383755
"415","RUBICON","PIST",5,36.8958638939693,55.5953439125362,48.2357021401611
"416","RUBICON","POGR4",10,50.8103185575457,78.8935483991617,64.7866429741905
"417","RUBICON","POTR5",2,56.7184443588177,63.949867441047,60.2257170833921
"418","RUBICON","QUAL",1,42.8668780870556,42.8668780870556,42.8668780870556
"419","RUBICON","QUPA2",1,39.9688122070324,39.9688122070324,39.9688122070324
"420","RUBICON","QURU",7,46.9038356255827,81.2962146475974,55.8341209718133
"421","SELKIRK","POTR5",1,57.8642329390988,57.8642329390988,57.8642329390988
"422","SHELTER","THOC2",1,27.8852940580253,27.8852940580253,27.8852940580253
"423","SHIOCTON","ACRU",2,74.2991458109429,74.2991458109429,74.2991458109429
"424","SHIOCTON","ACSA3",2,61.4423572725489,61.4423572725489,61.4423572725489
"425","SHIOCTON","FRAM2",1,76.5618916697595,76.5618916697595,76.5618916697595
"426","SHIOCTON","PIST",1,64.5925742938399,64.5925742938399,64.5925742938399
"427","SHIOCTON","POGR4",1,80.4873037962905,80.4873037962905,80.4873037962905
"428","SHIOCTON","QURU",1,72.8279241517114,72.8279241517114,72.8279241517114
"429","SHIOCTON","TIAM",1,65.8974308503532,65.8974308503532,65.8974308503532
"430","SIMS","POGR4",1,56.7184443588177,56.7184443588177,56.7184443588177
"431","SKANEE","ACRU",1,62.6835752238571,62.6835752238571,62.6835752238571
"432","SKANEE","BEPA",1,74.2991458109429,74.2991458109429,74.2991458109429
"433","SKANEE","POTR5",2,57.8642329390988,75.8000881191673,66.2277430970716
"434","SOLONA","ACSA3",2,62.6835752238571,62.6835752238571,62.6835752238571
"435","SPRINGLAKE","ACSA3",1,59.6264611858368,59.6264611858368,59.6264611858368
"436","SPRINGLAKE","PIRE",1,70.6755337106378,70.6755337106378,70.6755337106378
"437","ST. CHARLES","ACSA3",2,64.5925742938399,64.5925742938399,64.5925742938399
"438","ST. CHARLES","FRAM2",1,74.2991458109429,74.2991458109429,74.2991458109429
"439","STURGEON","ACSA3",1,62.6835752238571,62.6835752238571,62.6835752238571
"440","SUMMERVILLE","ACSA3",9,44.6163085689991,55.5953439125362,50.4166600695972
"441","SUMMERVILLE","BEPA",1,52.883926994841,52.883926994841,52.883926994841
"442","SUMMERVILLE","PIRE",3,36.8958638939693,46.9038356255827,43.0100060948329
"443","SUMMERVILLE","PIST",3,37.6412097860723,41.5999703767516,40.2361611279686
"444","SUMMERVILLE","QURU",3,43.7328464671777,52.883926994841,49.6384692004592
"445","SUPERIOR","ACSA3",1,50.8103185575457,50.8103185575457,50.8103185575457
"446","SUPERIOR","TIAM",1,49.8042068403999,49.8042068403999,49.8042068403999
"447","TAWAS","ABBA",1,62.6835752238571,62.6835752238571,62.6835752238571
"448","TAWAS","ACRU",1,61.4423572725489,61.4423572725489,61.4423572725489
"449","TAWAS","BEPA",1,55.5953439125362,55.5953439125362,55.5953439125362
"450","TAWAS","PIST",1,56.7184443588177,56.7184443588177,56.7184443588177
"451","TAWAS","POTR5",1,62.6835752238571,62.6835752238571,62.6835752238571
"452","TAWAS","THOC2",1,31.7565643506327,31.7565643506327,31.7565643506327
"453","THERESA","ACSA3",2,62.6835752238571,62.6835752238571,62.6835752238571
"454","TILLEDA","ACSA3",4,67.9043063956348,71.3858346331925,69.6233120961681
"455","TILLEDA","FRAM2",1,79.6864417424362,79.6864417424362,79.6864417424362
"456","TILLEDA","PIST",1,54.4944823451007,54.4944823451007,54.4944823451007
"457","TILLEDA","QURU",2,72.8279241517114,73.5598569578292,73.1929756406687
"458","TILLEDA","TIAM",1,77.3313514733206,77.3313514733206,77.3313514733206
"459","TRENARY","ACSA3",1,68.5867560206455,68.5867560206455,68.5867560206455
"460","VOLUSIA","ACSA3",1,66.5597110408167,66.5597110408167,66.5597110408167
"461","WAINOLA","ACRU",2,65.8974308503532,77.3313514733206,71.3858346331925
"462","WAINOLA","BEPA",2,57.8642329390988,67.9043063956348,62.6835752238571
"463","WAINOLA","FRAM2",2,69.9723004003507,73.5598569578292,71.7436576183571
"464","WAINOLA","POTR5",2,80.4873037962905,87.1908553145471,83.7720529768751
"465","WAINOLA","QURU",1,79.6864417424362,79.6864417424362,79.6864417424362
"466","WAISKA","ACSA3",1,60.8309956028441,60.8309956028441,60.8309956028441
"467","WALLACE","ACSA3",1,58.445778148334,58.445778148334,58.445778148334
"468","WALLACE","PIBA2",1,55.5953439125362,55.5953439125362,55.5953439125362
"469","WALLACE","PIRE",6,52.883926994841,62.6835752238571,58.0574355410077
"470","WASEPI","FRAM2",1,87.1908553145471,87.1908553145471,87.1908553145471
"471","WASEPI","POGR4",1,92.5824366975348,92.5824366975348,92.5824366975348
"472","WAYMOR","ACSA3",4,59.6264611858368,64.5925742938399,62.0598632291832
"473","WAYMOR","QURU",1,68.5867560206455,68.5867560206455,68.5867560206455
"474","WELLSBORO","ACSA3",1,79.6864417424362,79.6864417424362,79.6864417424362
"475","WELLSBORO","FRAM2",1,76.5618916697595,76.5618916697595,76.5618916697595
"476","WELLSBORO","PRSE2",1,74.2991458109429,74.2991458109429,74.2991458109429
"477","WINDSOR","BEPA",1,67.9043063956348,67.9043063956348,67.9043063956348
"478","WINDSOR","PIST",4,59.6264611858368,63.949867441047,61.4423572725489
"479","YALMER","ACRU",1,81.2962146475974,81.2962146475974,81.2962146475974
"480","YALMER","ACSA3",1,74.2991458109429,74.2991458109429,74.2991458109429
"481","YALMER","BEAL2",1,67.9043063956348,67.9043063956348,67.9043063956348
"482","ZIMMERMAN","PIBA2",1,38.7875552875537,38.7875552875537,38.7875552875537
"483","ZIMMERMAN","PIRE",1,52.883926994841,52.883926994841,52.883926994841
